Date,Open,High,Low,Close,Adj Close,Volume
2025-06-17,176.5,178.21,175.44,176.73,176.73,17656100
2025-06-18,176.78,177.32,172.35,173.48,173.48,32531800
2025-06-20,174.37,174.87,165.8,167.25,167.25,55402600
2025-06-23,166.84,168.0,162.86,165.54,165.54,36975600
2025-06-24,167.21,168.77,166.43,167.26,167.26,27310300
2025-06-25,168.17,172.87,168.08,171.0,171.0,23627400
2025-06-26,172.89,174.15,170.37,173.93,173.93,25909100
2025-06-27,174.13,178.33,172.22,177.76,177.76,74053100
2025-06-30,180.27,181.06,175.0,176.88,176.88,43964600
2025-07-01,176.3,176.72,174.16,176.41,176.41,25778500
2025-07-02,176.04,179.42,175.59,179.25,179.25,19325900
2025-07-03,179.31,180.26,177.68,180.04,180.04,13287400
2025-07-07,179.62,179.83,176.14,177.05,177.05,20991400
2025-07-08,178.27,178.28,173.42,174.66,174.66,24108600
2025-07-09,175.61,179.77,173.38,177.15,177.15,31288000
2025-07-10,176.17,179.08,175.24,178.19,178.19,24693700
2025-07-11,177.4,182.09,177.04,180.79,180.79,23975700
2025-07-14,181.55,184.2,180.2,182.29,182.29,20990400
2025-07-15,183.42,184.88,181.87,182.58,182.58,23911600
2025-07-16,183.8,184.81,182.56,183.25,183.25,21152600
2025-07-17,182.59,184.66,180.98,184.17,184.17,21654400
2025-07-18,186.09,186.83,184.2,185.41,185.41,21033400
2025-07-21,186.57,190.72,186.52,190.61,190.61,24665000
2025-07-22,191.87,192.81,187.96,191.56,191.56,26212900
2025-07-23,191.81,192.81,189.64,190.96,190.96,34068100
2025-07-24,197.55,198.4,191.4,192.65,192.65,45252100
2025-07-25,192.38,194.72,191.58,193.53,193.53,31101800
2025-07-28,193.86,194.27,191.31,192.87,192.87,25553500
2025-07-29,192.75,196.1,192.44,195.87,195.87,31891600
2025-07-30,195.74,197.91,195.0,196.88,196.88,21150500
2025-07-31,196.04,196.27,191.53,192.31,192.31,27852000
2025-08-01,189.24,191.07,188.16,189.41,189.41,21236700
2025-08-04,190.63,195.52,190.38,195.19,195.19,23386000
2025-08-05,194.99,198.13,194.12,194.76,194.76,19010200
2025-08-06,194.69,196.82,193.91,196.36,196.36,15383700
2025-08-07,197.15,197.81,194.66,196.72,196.72,14660600
2025-08-08,197.42,202.85,197.34,201.51,201.51,24379900
2025-08-11,200.98,201.58,199.23,201.06,201.06,16690200
2025-08-12,201.52,204.55,200.83,203.58,203.58,19854000
